tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,X1,id,imdbid,rating,title,year
tt1032856,7.6,11966,movie,The Band's Visit,Bikur Ha-Tizmoret,0,2007,,87,"Comedy,Drama,Music",4385,1799,1032856,1,"Band&#39;s Visit, The",2007
tt1033575,7.3,220294,movie,The Descendants,The Descendants,0,2011,,115,"Comedy,Drama",5508,2869,1033575,3,"Descendants, The",2011
tt1033643,6.1,154493,movie,What Happens in Vegas,What Happens in Vegas,0,2008,,99,"Comedy,Romance",4729,191,1033643,3,What Happens In Vegas,2008
tt1034032,5.8,122751,movie,Gamer,Gamer,0,2009,,95,"Action,Sci-Fi,Thriller",5092,2536,1034032,1,Gamer,2009
tt1034302,6,4132,movie,The Cry of the Owl,The Cry of the Owl,0,2009,,100,"Drama,Thriller",4833,6580,1034302,0,"Cry of the Owl, The",2009
tt1034303,7.2,127888,movie,Defiance,Defiance,0,2008,,137,"Action,Drama,History",4778,3711,1034303,3,Defiance,2008
tt1034314,5.9,85630,movie,Iron Sky,Iron Sky,0,2012,,93,"Action,Comedy,Sci-Fi",5843,3164,1034314,3,Iron Sky,2012
tt1034325,7.2,7120,movie,Phoebe in Wonderland,Phoebe in Wonderland,0,2008,,96,Drama,4779,2259,1034325,3,Phoebe in Wonderland,2008
tt1034389,6.2,60001,movie,The Eagle,The Eagle,0,2011,,114,"Action,Adventure,Drama",5571,2066,1034389,0,"Eagle, The",2011
tt1035736,6.7,35642,movie,Coco Before Chanel,Coco avant Chanel,0,2009,,105,"Biography,Drama",5089,1821,1035736,3,Coco avant Chanel,2009
tt1037146,5.1,427,movie,All About Women,Nu ren bu huai,0,2008,,120,"Comedy,Romance",4809,6861,1037146,3,All about women,2008
tt1037705,6.9,261696,movie,The Book of Eli,The Book of Eli,0,2010,,118,"Action,Adventure,Drama",5435,848,1037705,3,Book of Eli,2010
tt1038686,5.2,89913,movie,Legion,Legion,0,2010,,100,"Action,Fantasy,Horror",5217,979,1038686,3,Legion,2010
tt1038988,7.5,149273,movie,[Rec],[Rec],0,2007,,78,"Horror,Mystery,Thriller",4394,3646,1038988,3,[Rec],2007
